,index,Population,CO2 Emissions | Electric Heat,CO2 Emissions | Gas Fuel,CO2 Emissions | Liquid Fuel,CO2 Emissions | Manufacture and Construct,CO2 Emissions | Other,CO2 Emissions | Residential Commercial Public Service,CO2 Emissions | Intensity,GDP Per Capita,Energy Use,CO2 Emissions | Total,Electric Power Consumption,Energy Use Per Capita,Road Sector Gasoline Consumption,CODE
62,Japan,126785797.0,561.21,246943.114,489159.465,244.78,10.21,150.19,561.21,38428.097316828,3428.5572160043,9.5387061032716,7819.7146359094,3428.5572160043,329.03220117888,JPN
63,Jordan,9702353.0,10.0,619.723,22211.019,2.09,0.46,1.96,10.0,4129.7516711952,928.52047596031,3.0025147270398,1888.1169526862,928.52047596031,178.28830286361,JOR
64,Kazakhstan,18037646.0,124.84,71279.146,32339.273,68.95,5.52,22.4,124.84,8837.4573023066,4434.6391212315,14.363169741822,5600.2084648651,4434.6391212315,205.47696990928,KAZ
65,Kenya,49699862.0,2.56,0.0,10252.932,3.34,0.17,0.86,2.56,1507.8148638492,513.42648712364,0.31041531366616,166.73818693406,513.42648712364,12.467910892793,KEN
66,"Korea, Rep.",51466201.0,338.7,98796.314,156272.872,102.26,9.41,51.75,338.7,29742.838861347,5413.3478566586,11.57034540934,10496.513671964,5413.3478566586,163.78247726371,KOR
67,Kuwait,4136528.0,59.09,34590.811,58495.984,13.55,0.0,0.54,59.09,29040.363709112,8956.8203148753,25.223864426496,15213.419873362,8956.8203148753,809.03637303361,KWT
68,Kyrgyz Republic,6201500.0,1.18,517.047,3725.672,2.17,0.49,0.03,1.18,1219.824048382,650.40150801131,1.6463953388741,1941.221831891,650.40150801131,100.4605955101,KGZ
69,Latvia,1940740.0,2.17,2478.892,3674.334,1.02,0.38,0.95,2.17,15594.286015541,2176.8433058379,3.4981928816691,3507.4045206547,2176.8433058379,118.46333632566,LVA
70,Lebanon,6082357.0,11.56,0.0,20692.881,1.22,0.0,0.69,11.56,8523.7495500549,1337.3660315683,4.2957325523145,2892.7704652936,1337.3660315683,364.6079323901,LBN
71,Libya,6374616.0,18.61,11114.677,36248.295,2.65,0.0,1.62,18.61,7998.0288190688,2880.1439304409,9.1868453934071,1857.1565807687,2880.1439304409,443.53541803172,LBY
